seq,value_name,value_category,value_category_id,value_type,value_subtype,scale_type,scale_id,scale_name,scale_gender,value_metric_description,value_metric_units,value_metric_score,ancillary_metric_description,ancillary_metric_score,spatial_feature_definition,spatial_feature_type_id,spatial_feature_name,spatial_feature_id,spatial_feature_description,narrative,date_collected,metric_score_source,metric_score_contact,join
1113,Citrus,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),1,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman
1114,Cocoa,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),1.09,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman
1116,Copra,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),1.28,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman
1117,Floriculture,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),0.07,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman
1122,Kulau (copra),Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),1.28,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman
1124,Mangoes,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),1,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman
1129,Peanuts,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),1.37,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman
1131,Pineapples,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),1.19,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman
1132,Pitpit,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),1,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman
1133,Rice,Natural resource values,C_3,Contribution to human well-being,,Local Government,llg,Balanataman,Men and women,Importance for human wellbeing,% of overall human well-being (per unit area),1.82,,,Use existing layer,F_3,Agricultural land,ag,"All land excluding Forest, Urban, Rivers, Community gardens, Plantation land",,28/04/2016,"Building Capacity for Sustainable & Responsible Development in the Bismarck Sea. 1st District Meeting for Gazelle, Rabaul and Kokopo, Workshop # 2. April 2016. ","Nate Peterson, TNC.",llg_Balanataman
